"sample_id","trt","pos_y","dw_cond"
"bx01_a","b",3,211.5
"bx01_b","b",5.25,186.5
"WT01_a","W",12,192
"WT01_b","W",14.25,200
"bx02_a","b",21,199.5
"bx02_b","b",23.25,161.5
"WT02_a","W",30,211
"WT02_b","W",32.25,193.5
"bx03_a","b",57,177.5
"bx03_b","b",59.25,192
"WT03_a","W",66,119
"WT03_b","W",68.25,197.5
"bx04_a","b",75,160.5
"bx04_b","b",77.25,193
"WT04_a","W",84,163.5
"WT04_b","W",86.25,145.5
"bx05_a","b",39,195
"bx05_b","b",41.25,145.5
"WT05_a","W",48,123
"WT05_b","W",50.25,170.5
"bx06_a","b",57,134.5
"bx06_b","b",59.25,180
"WT06_a","W",66,131
"WT06_b","W",68.25,191
"bx07_a","b",3,187
"bx07_b","b",5.25,203.5
"WT07_a","W",12,194.5
"WT07_b","W",14.25,179.5
"bx08_a","b",21,161.5
"bx08_b","b",23.25,203.5
"WT08_a","W",30,176.5
"WT08_b","W",32.25,148.5
"bx09_a","b",39,233.5
"bx09_b","b",41.25,232
"WT09_a","W",48,188.5
"WT09_b","W",50.25,171.5
"bx10_a","b",75,150
"bx10_b","b",77.25,187
"WT10_a","W",84,149.5
"WT10_b","W",86.25,145
