sample_nr,plot_id,sample_id,wheat_var,trt,pos_y,dry_weight,num_heads,dw_per_stem,rep_til_mean,weight_head,weight_kernels_per_head,nr_kernels_per_head
Exp_9_01,plot_01,bx01_a,fiorina,b,4.5,1929.36,520,3.710307692,2,2.1996,1.6694,36.8
Exp_9_02,plot_01,bx01_b,fiorina,b,4.5,1333.52,392,3.401836735,2.6,2.1238,1.6598,38
Exp_9_03,plot_02,WT01_a,fiorina,W,13.5,2303.76,640,3.555185185,2.8,2.6694,2.0806,45.8
Exp_9_04,plot_02,WT01_b,fiorina,W,13.5,2026.8,624,3.248076923,3.6,2.3014,1.7982,42.6
Exp_9_05,plot_03,bx02_a,fiorina,b,22.5,1755.68,488,3.597704918,2.2,2.251,1.7184,36
Exp_9_06,plot_03,bx02_b,fiorina,b,22.5,1966.72,624,3.111898734,2.4,1.4738,1.1532,24.6
Exp_9_07,plot_04,WT02_a,fiorina,W,31.5,1598.72,472,3.387118644,4.4,2.4278,1.8962,43.8
Exp_9_08,plot_04,WT02_b,fiorina,W,31.5,2414.48,704,3.429659091,3.6,2.001,1.4906,39.8
Exp_9_09,plot_05,bx03_a,fiorina,b,40.5,1796.56,504,3.402575758,4,2.204,1.781,37.8
Exp_9_10,plot_05,bx03_b,fiorina,b,40.5,1540.8,496,3.106451613,3.2,2.009,1.657,37.8
Exp_9_11,plot_06,WT03_a,fiorina,W,49.5,1797.6,576,3.120833333,3.6,2.4232,1.862,42.8
Exp_9_12,plot_06,WT03_b,fiorina,W,49.5,1931.36,664,2.908674699,3.4,2.0052,1.5396,39.6
Exp_9_13,plot_07,bx04_a,fiorina,b,58.5,1523.2,528,2.884848485,2.6,1.7184,1.3704,35.2
Exp_9_14,plot_07,bx04_b,fiorina,b,58.5,1586.64,512,3.005,3.2,2.2616,1.7508,44.6
Exp_9_15,plot_08,WT04_a,fiorina,W,67.5,1864.72,608,3.027142857,2.6,1.9916,1.5374,36.4
