plot_id,sample_id,wheat_var,trt,pos_y,Mg[mg/kg],P[mg/kg],K[mg/kg],Ca[mg/kg],Mn[mg/kg],Na[mg/kg],Al[mg/kg],V[mg/kg],Cr[mg/kg],Fe[mg/kg],Ni[mg/kg],Cu[mg/kg],Zn[mg/kg],Ga[mg/kg],As[mg/kg],Rb[mg/kg],Sr[mg/kg],Cd[mg/kg],Cs[mg/kg],Ba[mg/kg],Ce[mg/kg]
plot_01,bx01,fiorina,b,4.5,1351.990033,3804.210306,3780.896002,47.56911578,44.71811878,6.473459623,1.106541416,0.001584451,0.060552365,27.90598518,0.212009739,7.077444952,25.79171405,0.750411149,0.006471462,3.392579699,1.864553524,0.039708637,0.004933179,2.970749074,0.000550161
plot_02,WT01,fiorina,W,13.5,1597.870358,4346.907869,4183.611465,50.2119573,44.00814866,6.01886334,0.955377246,0.0012881,0.041529032,34.1557373,0.124062166,8.186597257,26.76398786,0.926928915,0.005672644,2.051724071,1.873587373,0.04112634,0.002028797,3.653293908,0.000510772
plot_03,bx02,fiorina,b,22.5,1431.35555,3887.893751,3889.601478,43.59702082,49.23569201,5.844160142,1.698020463,0.002209219,0.064440865,31.59744212,0.136325243,7.560653179,24.04352816,0.822135639,0.005902889,1.977722582,1.680906158,0.033186409,0.001830177,3.308599533,0.000892647
plot_04,WT02,fiorina,W,31.5,1279.298857,3510.892708,3722.211303,56.10463353,37.65805066,6.007431391,1.067331419,0.002230777,0.064183122,25.97861022,0.147790391,6.567856965,21.58202593,0.820943804,0.005958595,1.088815326,1.941813251,0.023895297,0.00121507,3.122957923,0.000690865
plot_05,bx03,fiorina,b,40.5,1437.876055,3981.546995,4182.433372,51.60284138,36.19487979,6.703597823,0.929595508,0.001225598,0.044412354,30.15516417,0.130593194,7.536712871,22.13322273,0.97480995,0.0056262,1.350840117,2.215001134,0.023816146,0.001319929,3.722308981,0.000409326
plot_06,WT03,fiorina,W,49.5,1460.475433,4014.859992,4170.350941,49.30861746,36.23836126,7.244223309,1.54552016,0.002639374,0.078453867,31.39557118,0.141327257,7.985736864,22.51875376,1.056324651,0.006080023,1.285327004,2.198868196,0.023804703,0.001693555,3.834528079,0.000472646
plot_07,bx04,fiorina,b,58.5,1430.540313,4030.076428,4212.608579,52.66630878,35.27845715,7.309370631,1.280951924,0.001819969,0.059769699,30.20421569,0.152970725,7.62151326,22.61079132,0.858242493,0.004991219,1.924911036,2.049118222,0.024414936,0.00177473,3.071548633,0.00030127
plot_08,WT04,fiorina,W,67.5,1444.376216,4030.198059,4231.595855,48.12840662,42.93579249,8.248536804,1.705560415,0.002693866,0.092018256,31.41930439,0.174076188,7.898743019,22.76177584,0.956225133,0.003982012,3.638506114,1.928116569,0.023765379,0.003253439,3.303475871,0.000570799
plot_09,bx05,fiorina,b,76.5,1452.109365,4072.116786,4400.435061,51.79002642,48.14595256,8.517918189,1.15527861,0.001301104,0.073142258,36.53953969,0.227004034,8.540385313,22.95742749,0.961470128,0.004764147,4.14459336,1.924756098,0.025353647,0.003805537,3.286711753,0.000317734
plot_10,WT05,fiorina,W,85.5,1263.853651,3574.221167,3931.10788,55.57531018,40.6373531,8.149543995,1.163089146,0.001701945,0.053040435,29.84165952,0.162533198,7.54015958,21.60076279,0.922326782,0.005161616,3.269848378,1.771495615,0.029336383,0.002942308,3.171950427,0.000455747
plot_11,bx06,claro,b,4.5,1540.966757,4292.47341,5156.019203,44.38455254,55.49763399,10.45494377,2.563617367,0.004162748,0.176683572,42.16311238,0.328525262,5.885519091,31.09580209,1.169606039,0.005227871,3.877677629,1.746334182,0.044672843,0.003101642,4.010242042,0.001091954
plot_12,WT06,claro,W,13.5,1496.201627,4235.075143,4808.311615,41.37690025,48.19849985,9.772853989,1.896359715,0.00296542,0.106134162,39.34420178,0.216547184,5.171849081,27.67170331,1.103329246,0.006586652,2.52410673,1.679896299,0.034276352,0.002045211,3.71005935,0.000743639
plot_13,bx07,claro,b,22.5,1410.36935,3982.663479,4720.589269,40.33598068,54.22274277,9.186916913,1.44916881,0.002244795,0.078088717,40.63762373,0.207589728,5.269971993,26.08017126,1.063022102,0.00607451,2.256441405,1.681977302,0.030155253,0.001896957,3.571849551,0.000441662
plot_14,WT07,claro,W,31.5,1573.040838,4472.107703,5380.440928,38.74109309,54.28984858,10.85825197,1.953465051,0.002941153,0.076093102,40.40690175,0.281784722,5.698192527,29.23238498,1.324322667,0.006603874,1.572322052,2.11241551,0.027092554,0.001741804,4.362526788,0.000570162
plot_15,bx08,claro,b,40.5,1410.545441,4064.715303,4858.212136,38.12614335,43.65541217,9.718336339,1.374110145,0.00145379,0.069076201,35.34713068,0.240972497,5.403246667,24.45394086,1.13900176,0.006912632,2.061884345,1.930129667,0.028823322,0.002064821,3.865701637,0.000366235
plot_16,WT08,claro,W,49.5,1486.255874,4099.57978,4725.745701,43.05023795,46.91996754,9.389852972,1.386604547,0.00140616,0.070766947,37.41471452,0.229205966,5.492909098,25.27040035,1.099910612,0.005633888,2.099112861,1.812907356,0.03218136,0.002241319,3.619451071,0.000361882
plot_17,bx09,claro,b,58.5,1319.418784,3767.647721,4444.414083,42.5238487,41.55653993,9.920760549,1.231805574,0.001679206,0.066166865,33.12655042,0.217737649,4.94973615,23.00919889,0.997957329,0.005752537,2.380577135,1.868648192,0.029469111,0.0023954,3.332177907,0.000429612
plot_18,WT09,claro,W,67.5,1407.121064,3922.305831,4608.927908,35.8924838,44.74922842,10.30514569,1.420635545,0.001894314,0.079413351,34.21502203,0.212002209,5.879386627,26.06434776,0.977217932,0.005014291,4.150961533,2.005416515,0.031140119,0.003224374,3.157663788,0.000610599
plot_19,bx10,claro,b,76.5,1330.639628,3811.458263,4577.300254,41.62550268,43.48119936,10.07637503,1.193065016,0.001696873,0.058062777,31.67485787,0.205805677,5.797539488,24.97953973,0.961166064,0.00468072,4.608284104,1.530168846,0.032475024,0.003694903,2.983697502,0.000324374
