"sample_nr","plot_id","sample_id","wheat_var","trt","pos_y","number_oulema_larv","nr_lar_per_stem"
"Exp_9_01","plot_01","bx01_a","fiorina","b",4.5,6,0.0952380952380952
"Exp_9_02","plot_01","bx01_b","fiorina","b",4.5,3,0.0491803278688525
"Exp_9_03","plot_02","WT01_a","fiorina","W",13.5,3,0.0576923076923077
"Exp_9_04","plot_02","WT01_b","fiorina","W",13.5,4,0.0512820512820513
"Exp_9_05","plot_03","bx02_a","fiorina","b",22.5,2,0.0344827586206897
"Exp_9_06","plot_03","bx02_b","fiorina","b",22.5,4,0.0606060606060606
"Exp_9_07","plot_04","WT02_a","fiorina","W",31.5,2,0.0263157894736842
"Exp_9_08","plot_04","WT02_b","fiorina","W",31.5,1,0.0128205128205128
"Exp_9_09","plot_05","bx03_a","fiorina","b",40.5,6,0.136363636363636
"Exp_9_10","plot_05","bx03_b","fiorina","b",40.5,5,0.0641025641025641
"Exp_9_11","plot_06","WT03_a","fiorina","W",49.5,2,0.03125
"Exp_9_12","plot_06","WT03_b","fiorina","W",49.5,5,0.0675675675675676
"Exp_9_13","plot_07","bx04_a","fiorina","b",58.5,5,0.0769230769230769
"Exp_9_14","plot_07","bx04_b","fiorina","b",58.5,4,0.0625
"Exp_9_15","plot_08","WT04_a","fiorina","W",67.5,2,0.0303030303030303
"Exp_9_16","plot_08","WT04_b","fiorina","W",67.5,4,0.0547945205479452
"Exp_9_17","plot_09","bx05_a","fiorina","b",76.5,7,0.101449275362319
"Exp_9_18","plot_09","bx05_b","fiorina","b",76.5,6,0.103448275862069
"Exp_9_19","plot_10","WT05_a","fiorina","W",85.5,4,0.0833333333333333
"Exp_9_20","plot_10","WT05_b","fiorina","W",85.5,9,0.111111111111111
"Exp_9_21","plot_11","bx06_a","claro","b",4.5,4,0.0869565217391304
"Exp_9_22","plot_11","bx06_b","claro","b",4.5,1,0.0208333333333333
"Exp_9_23","plot_12","WT06_a","claro","W",13.5,1,0.0169491525423729
"Exp_9_24","plot_12","WT06_b","claro","W",13.5,0,0
"Exp_9_25","plot_13","bx07_a","claro","b",22.5,3,0.0545454545454545
"Exp_9_26","plot_13","bx07_b","claro","b",22.5,2,0.04
"Exp_9_27","plot_14","WT07_a","claro","W",31.5,2,0.0303030303030303
"Exp_9_28","plot_14","WT07_b","claro","W",31.5,2,0.03125
"Exp_9_29","plot_15","bx08_a","claro","b",40.5,3,0.0566037735849057
"Exp_9_30","plot_15","bx08_b","claro","b",40.5,3,0.0454545454545455
"Exp_9_31","plot_16","WT08_a","claro","W",49.5,3,0.0526315789473684
"Exp_9_32","plot_16","WT08_b","claro","W",49.5,1,0.0163934426229508
"Exp_9_33","plot_17","bx09_a","claro","b",58.5,5,0.106382978723404
"Exp_9_34","plot_17","bx09_b","claro","b",58.5,3,0.0526315789473684
"Exp_9_35","plot_18","WT09_a","claro","W",67.5,2,0.0377358490566038
"Exp_9_36","plot_18","WT09_b","claro","W",67.5,1,0.0178571428571429
