"plot_id","sample_id","wheat_var","trt","pos_y","hormone","concentration"
"plot_01","bx01","fiorina","b",4.5,"SA",52.2916666666667
"plot_01","bx01","fiorina","b",4.5,"ABA",31.4583333333333
"plot_01","bx01","fiorina","b",4.5,"JA",0.539583333333333
"plot_01","bx01","fiorina","b",4.5,"JA_Ile",0.304166666666667
"plot_01","bx01","fiorina","b",4.5,"OPDA",1.74375
"plot_02","WT01","fiorina","W",13.5,"SA",69.4230769230769
"plot_02","WT01","fiorina","W",13.5,"ABA",33.2692307692308
"plot_02","WT01","fiorina","W",13.5,"JA",2.71153846153846
"plot_02","WT01","fiorina","W",13.5,"JA_Ile",1.39615384615385
"plot_02","WT01","fiorina","W",13.5,"OPDA",3.59615384615385
"plot_03","bx02","fiorina","b",22.5,"SA",56.6101694915254
"plot_03","bx02","fiorina","b",22.5,"ABA",32.0338983050847
"plot_03","bx02","fiorina","b",22.5,"JA",0.233898305084746
"plot_03","bx02","fiorina","b",22.5,"JA_Ile",0.136101694915254
"plot_03","bx02","fiorina","b",22.5,"OPDA",0.649152542372881
"plot_04","WT02","fiorina","W",31.5,"SA",45.4545454545455
"plot_04","WT02","fiorina","W",31.5,"ABA",31.1363636363636
"plot_04","WT02","fiorina","W",31.5,"JA",0.240909090909091
"plot_04","WT02","fiorina","W",31.5,"JA_Ile",0.142045454545455
"plot_04","WT02","fiorina","W",31.5,"OPDA",1.07045454545455
"plot_05","bx03","fiorina","b",40.5,"SA",67.1111111111111
"plot_05","bx03","fiorina","b",40.5,"ABA",37.7777777777778
"plot_05","bx03","fiorina","b",40.5,"JA",2.26666666666667
"plot_05","bx03","fiorina","b",40.5,"JA_Ile",0.964444444444444
"plot_05","bx03","fiorina","b",40.5,"OPDA",4.51111111111111
"plot_06","WT03","fiorina","W",49.5,"SA",55
"plot_06","WT03","fiorina","W",49.5,"ABA",33.1818181818182
"plot_06","WT03","fiorina","W",49.5,"JA",0.818181818181818
"plot_06","WT03","fiorina","W",49.5,"JA_Ile",0.224318181818182
"plot_06","WT03","fiorina","W",49.5,"OPDA",4.20454545454546
"plot_07","bx04","fiorina","b",58.5,"SA",NA
"plot_07","bx04","fiorina","b",58.5,"ABA",35.8139534883721
"plot_07","bx04","fiorina","b",58.5,"JA",1.3046511627907
"plot_07","bx04","fiorina","b",58.5,"JA_Ile",0.655813953488372
"plot_07","bx04","fiorina","b",58.5,"OPDA",3.25581395348837
"plot_08","WT04","fiorina","W",67.5,"SA",75.2688172043011
"plot_08","WT04","fiorina","W",67.5,"ABA",34.8387096774194
"plot_08","WT04","fiorina","W",67.5,"JA",0.556989247311828
"plot_08","WT04","fiorina","W",67.5,"JA_Ile",0.298924731182796
"plot_08","WT04","fiorina","W",67.5,"OPDA",1.41290322580645
"plot_09","bx05","fiorina","b",76.5,"SA",72.5714285714286
"plot_09","bx05","fiorina","b",76.5,"ABA",39.4285714285714
"plot_09","bx05","fiorina","b",76.5,"JA",3.27619047619048
"plot_09","bx05","fiorina","b",76.5,"JA_Ile",2.17142857142857
"plot_09","bx05","fiorina","b",76.5,"OPDA",NA
"plot_10","WT05","fiorina","W",85.5,"SA",48.3673469387755
"plot_10","WT05","fiorina","W",85.5,"ABA",31.2244897959184
"plot_10","WT05","fiorina","W",85.5,"JA",2.3469387755102
"plot_10","WT05","fiorina","W",85.5,"JA_Ile",NA
"plot_10","WT05","fiorina","W",85.5,"OPDA",2.55102040816327
"plot_11","bx06","claro","b",4.5,"SA",198.775510204082
"plot_11","bx06","claro","b",4.5,"ABA",22.2448979591837
"plot_11","bx06","claro","b",4.5,"JA",0.985714285714286
"plot_11","bx06","claro","b",4.5,"JA_Ile",0.236734693877551
"plot_11","bx06","claro","b",4.5,"OPDA",5.04081632653061
"plot_12","WT06","claro","W",13.5,"SA",125.894736842105
"plot_12","WT06","claro","W",13.5,"ABA",27.1578947368421
"plot_12","WT06","claro","W",13.5,"JA",NA
"plot_12","WT06","claro","W",13.5,"JA_Ile",0.528421052631579
"plot_12","WT06","claro","W",13.5,"OPDA",2.25263157894737
"plot_13","bx07","claro","b",22.5,"SA",300
"plot_13","bx07","claro","b",22.5,"ABA",23.1914893617021
"plot_13","bx07","claro","b",22.5,"JA",0.629787234042553
"plot_13","bx07","claro","b",22.5,"JA_Ile",0.274468085106383
"plot_13","bx07","claro","b",22.5,"OPDA",1.07872340425532
"plot_14","WT07","claro","W",31.5,"SA",184.301075268817
"plot_14","WT07","claro","W",31.5,"ABA",24.0860215053763
"plot_14","WT07","claro","W",31.5,"JA",0.335483870967742
"plot_14","WT07","claro","W",31.5,"JA_Ile",0.0793548387096774
"plot_14","WT07","claro","W",31.5,"OPDA",2.47311827956989
"plot_15","bx08","claro","b",40.5,"SA",165.52380952381
"plot_15","bx08","claro","b",40.5,"ABA",22.2857142857143
"plot_15","bx08","claro","b",40.5,"JA",0.4
"plot_15","bx08","claro","b",40.5,"JA_Ile",0.283809523809524
"plot_15","bx08","claro","b",40.5,"OPDA",1.73142857142857
"plot_16","WT08","claro","W",49.5,"SA",225.210084033613
"plot_16","WT08","claro","W",49.5,"ABA",21.6806722689076
"plot_16","WT08","claro","W",49.5,"JA",0.25546218487395
"plot_16","WT08","claro","W",49.5,"JA_Ile",0.127058823529412
"plot_16","WT08","claro","W",49.5,"OPDA",2.01680672268908
"plot_17","bx09","claro","b",58.5,"SA",203.809523809524
"plot_17","bx09","claro","b",58.5,"ABA",22.0952380952381
"plot_17","bx09","claro","b",58.5,"JA",0.474285714285714
"plot_17","bx09","claro","b",58.5,"JA_Ile",0.27047619047619
"plot_17","bx09","claro","b",58.5,"OPDA",1.82857142857143
"plot_18","WT09","claro","W",67.5,"SA",254.545454545455
"plot_18","WT09","claro","W",67.5,"ABA",24.2424242424242
"plot_18","WT09","claro","W",67.5,"JA",0.238383838383838
"plot_18","WT09","claro","W",67.5,"JA_Ile",0.0977777777777778
"plot_18","WT09","claro","W",67.5,"OPDA",1.30909090909091
"plot_19","bx10","claro","b",76.5,"SA",229.357798165138
"plot_19","bx10","claro","b",76.5,"ABA",19.0825688073394
"plot_19","bx10","claro","b",76.5,"JA",0.805504587155963
