"sample_nr","plot_id","sample_id","wheat_var","trt","pos_y","germ","chlorophyll","height_mean","fresh_weight","dry_weight","water_content"
"Exp_9_01","plot_01","bx01_a","fiorina","b",4.5,240,43,93.12,3316,642.96,80.6103739445115
"Exp_9_02","plot_01","bx01_b","fiorina","b",4.5,266.666666666667,39.8,91.18,2648,526.08,80.1329305135952
"Exp_9_03","plot_02","WT01_a","fiorina","W",13.5,304,43,95.4,2708,523.2,80.6794682422452
"Exp_9_04","plot_02","WT01_b","fiorina","W",13.5,277.333333333333,40.7,93.89,4152,778.72,81.2447013487476
"Exp_9_05","plot_03","bx02_a","fiorina","b",22.5,208,40.3,92.65,2784,553.36,80.1235632183908
"Exp_9_06","plot_03","bx02_b","fiorina","b",22.5,266.666666666667,38.2,92.61,3852,710,81.5680166147456
"Exp_9_07","plot_04","WT02_a","fiorina","W",31.5,256,40.5,98.04,4112,789.04,80.8112840466926
"Exp_9_08","plot_04","WT02_b","fiorina","W",31.5,288,40.6,98.29,5236,940.88,82.0305576776165
"Exp_9_09","plot_05","bx03_a","fiorina","b",40.5,218.666666666667,41.1,95.73,2684,528.08,80.3248882265276
"Exp_9_10","plot_05","bx03_b","fiorina","b",40.5,208,38.2,95.27,4728,828.96,82.4670050761421
"Exp_9_11","plot_06","WT03_a","fiorina","W",49.5,186.666666666667,40,99.32,3844,727.2,81.0822060353798
"Exp_9_12","plot_06","WT03_b","fiorina","W",49.5,272,38.6,97.73,3920,727.44,81.4428571428571
"Exp_9_13","plot_07","bx04_a","fiorina","b",58.5,234.666666666667,40.5,94.3,3592,672.48,81.2783964365256
"Exp_9_14","plot_07","bx04_b","fiorina","b",58.5,266.666666666667,37.3,92.98,3440,635.6,81.5232558139535
"Exp_9_15","plot_08","WT04_a","fiorina","W",67.5,224,40.1,97.29,3648,666.08,81.7412280701754
"Exp_9_16","plot_08","WT04_b","fiorina","W",67.5,352,40.4,94.33,4028,728.24,81.9205561072493
"Exp_9_17","plot_09","bx05_a","fiorina","b",76.5,197.333333333333,43.6,94.07,3824,721.68,81.1276150627615
