"compound_name","sample_id","trt","pos_y","ng_mL"
"DIMBOA-Glc","WT01","W",13.5,9.3
"DIMBOA-Glc","bx01","b",4.5,0
"DIMBOA-Glc","WT02","W",31.5,19
"DIMBOA-Glc","bx02","b",22.5,0
"DIMBOA-Glc","WT03","W",67.5,2.8
"DIMBOA-Glc","bx03","b",58.5,0
"DIMBOA-Glc","WT04","W",85.5,NA
"DIMBOA-Glc","bx04","b",76.5,0
"DIMBOA-Glc","WT05","W",49.5,20.3
"DIMBOA-Glc","bx05","b",40.5,0
"DIMBOA-Glc","WT06","W",67.5,1.3
"DIMBOA-Glc","bx06","b",58.5,0
"DIMBOA-Glc","WT07","W",13.5,10.5
"DIMBOA-Glc","bx07","b",4.5,0
"DIMBOA-Glc","WT08","W",31.5,6
"DIMBOA-Glc","bx08","b",22.5,0
"DIMBOA-Glc","WT09","W",49.5,4.8
"DIMBOA-Glc","bx09","b",40.5,0
"DIMBOA-Glc","WT10","W",85.5,4.3
"DIMBOA-Glc","bx10","b",76.5,0
"HMBOA","WT01","W",13.5,358.4
"HMBOA","bx01","b",4.5,0
"HMBOA","WT02","W",31.5,398.9
"HMBOA","bx02","b",22.5,0
"HMBOA","WT03","W",67.5,203.3
"HMBOA","bx03","b",58.5,0
"HMBOA","WT04","W",85.5,595.7
"HMBOA","bx04","b",76.5,0
"HMBOA","WT05","W",49.5,634.5
"HMBOA","bx05","b",40.5,0
"HMBOA","WT06","W",67.5,107.7
"HMBOA","bx06","b",58.5,0
"HMBOA","WT07","W",13.5,152.1
"HMBOA","bx07","b",4.5,0
"HMBOA","WT08","W",31.5,201.6
"HMBOA","bx08","b",22.5,0
"HMBOA","WT09","W",49.5,301.6
"HMBOA","bx09","b",40.5,0
"HMBOA","WT10","W",85.5,168.6
"HMBOA","bx10","b",76.5,0
"DIMBOA","WT01","W",13.5,10
"DIMBOA","bx01","b",4.5,0
"DIMBOA","WT02","W",31.5,29.3
"DIMBOA","bx02","b",22.5,0
"DIMBOA","WT03","W",67.5,3.9
"DIMBOA","bx03","b",58.5,0
"DIMBOA","WT04","W",85.5,65.8
"DIMBOA","bx04","b",76.5,0
"DIMBOA","WT05","W",49.5,58.6
"DIMBOA","bx05","b",40.5,0
"DIMBOA","WT06","W",67.5,1.6
"DIMBOA","bx06","b",58.5,0
"DIMBOA","WT07","W",13.5,4.9
"DIMBOA","bx07","b",4.5,0
"DIMBOA","WT08","W",31.5,11.8
"DIMBOA","bx08","b",22.5,0
"DIMBOA","WT09","W",49.5,16.9
"DIMBOA","bx09","b",40.5,0
"DIMBOA","WT10","W",85.5,2.3
"DIMBOA","bx10","b",76.5,0
"HDMBOA-Glc","WT01","W",13.5,517.6
"HDMBOA-Glc","bx01","b",4.5,0
"HDMBOA-Glc","WT02","W",31.5,381.1
"HDMBOA-Glc","bx02","b",22.5,0
"HDMBOA-Glc","WT03","W",67.5,366.1
"HDMBOA-Glc","bx03","b",58.5,0
"HDMBOA-Glc","WT04","W",85.5,650.9
"HDMBOA-Glc","bx04","b",76.5,0
"HDMBOA-Glc","WT05","W",49.5,479
"HDMBOA-Glc","bx05","b",40.5,0
"HDMBOA-Glc","WT06","W",67.5,222.9
"HDMBOA-Glc","bx06","b",58.5,0
"HDMBOA-Glc","WT07","W",13.5,239.9
"HDMBOA-Glc","bx07","b",4.5,0
"HDMBOA-Glc","WT08","W",31.5,203.8
"HDMBOA-Glc","bx08","b",22.5,0
"HDMBOA-Glc","WT09","W",49.5,227.1
"HDMBOA-Glc","bx09","b",40.5,0
"HDMBOA-Glc","WT10","W",85.5,363.8
"HDMBOA-Glc","bx10","b",76.5,0
"MBOA","WT01","W",13.5,49.2
"MBOA","bx01","b",4.5,0
"MBOA","WT02","W",31.5,76.3
"MBOA","bx02","b",22.5,0
"MBOA","WT03","W",67.5,55.6
"MBOA","bx03","b",58.5,0.8
"MBOA","WT04","W",85.5,104.9
"MBOA","bx04","b",76.5,0.5
"MBOA","WT05","W",49.5,69.8
"MBOA","bx05","b",40.5,0.4
"MBOA","WT06","W",67.5,28.8
"MBOA","bx06","b",58.5,0
"MBOA","WT07","W",13.5,47.7
"MBOA","bx07","b",4.5,0.7
"MBOA","WT08","W",31.5,43.3
"MBOA","bx08","b",22.5,0.8
"MBOA","WT09","W",49.5,48
"MBOA","bx09","b",40.5,0
"MBOA","WT10","W",85.5,67.8
"MBOA","bx10","b",76.5,0
"AMPO","WT01","W",13.5,0.161971099
"AMPO","bx01","b",4.5,0.030954361
"AMPO","WT02","W",31.5,0.135746959
"AMPO","bx02","b",22.5,0
"AMPO","WT03","W",67.5,0
"AMPO","bx03","b",58.5,0.041272482
"AMPO","WT04","W",85.5,0.155005718
"AMPO","bx04","b",76.5,0
"AMPO","WT05","W",49.5,0.140996985
"AMPO","bx05","b",40.5,0.084962054
"AMPO","WT06","W",67.5,0.03877742
"AMPO","bx06","b",58.5,0
"AMPO","WT07","W",13.5,0.081843227
"AMPO","bx07","b",4.5,0.094994282
"AMPO","WT08","W",31.5,0.103804969
"AMPO","bx08","b",22.5,0
"AMPO","WT09","W",49.5,0.306684687
"AMPO","bx09","b",40.5,0
"AMPO","WT10","W",85.5,0.488460339
"AMPO","bx10","b",76.5,0
