"plot_id","sample_id","wheat_var","trt","pos_y","compound_name","ng_mL"
"plot_01","bx01","fiorina","b",4.5,"HMBOA",1.66
"plot_01","bx01","fiorina","b",4.5,"HDMBOA-Glc",1.59
"plot_01","bx01","fiorina","b",4.5,"MBOA",1.36
"plot_01","bx01","fiorina","b",4.5,"AMPO",0.45
"plot_02","WT01","fiorina","W",13.5,"HMBOA",2.52
"plot_02","WT01","fiorina","W",13.5,"HDMBOA-Glc",4
"plot_02","WT01","fiorina","W",13.5,"MBOA",1.62
"plot_02","WT01","fiorina","W",13.5,"AMPO",0.83
"plot_03","bx02","fiorina","b",22.5,"HMBOA",19.19
"plot_03","bx02","fiorina","b",22.5,"HDMBOA-Glc",12.49
"plot_03","bx02","fiorina","b",22.5,"MBOA",3.69
"plot_03","bx02","fiorina","b",22.5,"AMPO",NA
"plot_04","WT02","fiorina","W",31.5,"HMBOA",1.83
"plot_04","WT02","fiorina","W",31.5,"HDMBOA-Glc",3.14
"plot_04","WT02","fiorina","W",31.5,"MBOA",1.82
"plot_04","WT02","fiorina","W",31.5,"AMPO",0.56
"plot_05","bx03","fiorina","b",40.5,"HMBOA",33.59
"plot_05","bx03","fiorina","b",40.5,"HDMBOA-Glc",8.56
"plot_05","bx03","fiorina","b",40.5,"MBOA",NA
"plot_05","bx03","fiorina","b",40.5,"AMPO",0.5
"plot_06","WT03","fiorina","W",49.5,"HMBOA",3.39
"plot_06","WT03","fiorina","W",49.5,"HDMBOA-Glc",3.04
"plot_06","WT03","fiorina","W",49.5,"MBOA",2.47
"plot_06","WT03","fiorina","W",49.5,"AMPO",0.8
"plot_07","bx04","fiorina","b",58.5,"HMBOA",11.68
"plot_07","bx04","fiorina","b",58.5,"HDMBOA-Glc",4.67
"plot_07","bx04","fiorina","b",58.5,"MBOA",3.85
"plot_07","bx04","fiorina","b",58.5,"AMPO",0.46
"plot_08","WT04","fiorina","W",67.5,"HMBOA",8.23
"plot_08","WT04","fiorina","W",67.5,"HDMBOA-Glc",3.32
