"sample_id","trt","pos_y","parameter","quantity"
"WT01","W",2,"pH",6.68
"WT01","W",2,"phosphorus_CO2",13.2
"WT01","W",2,"potassium_CO2",1.7
"WT01","W",2,"magnesium_CO2",6
"WT01","W",2,"nitrate_H2O",33.4
"WT01","W",2,"phosphorus_H2O",7.79
"WT01","W",2,"potassium_H2O",17.99
"WT01","W",2,"calcium_H2O",64.32
"WT01","W",2,"magnesium_H2O",7.46
"WT01","W",2,"iron_H2O",6.884
"WT01","W",2,"phosphorus_AAE",42.67
"WT01","W",2,"potassium_AAE",81.7
"WT01","W",2,"magnesium_AAE",79.4
"WT01","W",2,"manganese_AAE",206
"WT01","W",2,"boron_AAE",0.2
"WT01","W",2,"copper_AAE",3.4
"WT01","W",2,"iron_AAE",192
"WT01","W",2,"iron_HNO3",12945.11
"WT02","W",4,"pH",7
"WT02","W",4,"phosphorus_CO2",17.9
"WT02","W",4,"potassium_CO2",2.6
"WT02","W",4,"magnesium_CO2",7.8
"WT02","W",4,"nitrate_H2O",33.1
"WT02","W",4,"phosphorus_H2O",10.13
"WT02","W",4,"potassium_H2O",24.31
"WT02","W",4,"calcium_H2O",70.08
"WT02","W",4,"magnesium_H2O",8.42
"WT02","W",4,"iron_H2O",7.036
"WT02","W",4,"phosphorus_AAE",50.6
"WT02","W",4,"potassium_AAE",107.3
"WT02","W",4,"magnesium_AAE",96.2
"WT02","W",4,"manganese_AAE",217
"WT02","W",4,"boron_AAE",0.1
"WT02","W",4,"copper_AAE",4.7
"WT02","W",4,"iron_AAE",217
"WT02","W",4,"iron_HNO3",13751.9
"WT03","W",6,"pH",6.79
"WT03","W",6,"phosphorus_CO2",10.4
"WT03","W",6,"potassium_CO2",1.4
"WT03","W",6,"magnesium_CO2",6.1
"WT03","W",6,"nitrate_H2O",33.27
"WT03","W",6,"phosphorus_H2O",5.1
"WT03","W",6,"potassium_H2O",13.67
"WT03","W",6,"calcium_H2O",72.31
"WT03","W",6,"magnesium_H2O",7.36
"WT03","W",6,"iron_H2O",8.123
"WT03","W",6,"phosphorus_AAE",34.98
"WT03","W",6,"potassium_AAE",78.61
"WT03","W",6,"magnesium_AAE",86.6
"WT03","W",6,"manganese_AAE",247
"WT03","W",6,"boron_AAE",0.2
"WT03","W",6,"copper_AAE",3.6
"WT03","W",6,"iron_AAE",198
"WT03","W",6,"iron_HNO3",14380.44
"WT04","W",8,"pH",6.73
"WT04","W",8,"phosphorus_CO2",10.2
"WT04","W",8,"potassium_CO2",1.3
"WT04","W",8,"magnesium_CO2",5.4
"WT04","W",8,"nitrate_H2O",37.77
"WT04","W",8,"phosphorus_H2O",7.07
"WT04","W",8,"potassium_H2O",15.09
"WT04","W",8,"calcium_H2O",75.93
"WT04","W",8,"magnesium_H2O",7.25
"WT04","W",8,"iron_H2O",6.714
"WT04","W",8,"phosphorus_AAE",34.6
"WT04","W",8,"potassium_AAE",67.54
"WT04","W",8,"magnesium_AAE",76.9
"WT04","W",8,"manganese_AAE",191
"WT04","W",8,"boron_AAE",0.1
"WT04","W",8,"copper_AAE",3.6
"WT04","W",8,"iron_AAE",184
"WT04","W",8,"iron_HNO3",13437.89
"bx01","b",1,"pH",6.39
"bx01","b",1,"phosphorus_CO2",7.9
"bx01","b",1,"potassium_CO2",1.2
"bx01","b",1,"magnesium_CO2",6.6
